Market Place,Account Holder,Account,Psp Reference,Payment Psp Reference,Payment Merchant Reference,Capture Psp Reference,Capture Merchant Reference,Payout Psp Reference,Chargeback Psp Reference,Booking Date,TimeZone,Description,Main Currency,Main Amount,Record Type,Balance Currency,Pending (BC),Balance (BC),Exchange Rate,Bank account details,US State,Refund terms,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10
AffiniPayLLC,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP,8516348271525994,VDXX79F28WK7C782,HN4WDW9KD2TL5QT5,6nLJoIh8DnHHb8VfWPLTA8-1f8WoZ3KyOkCKFeatE3XOt-65G11aU2omfbFEOZlbbSEP,G36ZW585PVD5XM65,6nLJoIh8DnHHb8VfWPLTA8-1f8WoZ3KyOkCKFeatE3XOt-65G11aU2omfbFEOZlbbSEP-capture,,,2024-03-03 22:17:02,PST,6nLJoIh8DnHHb8VfWPLTA8-1f8WoZ3KyOkCKFeatE3XOt-65G11aU2omfbFEOZlbbSEP-capture,USD,20.02,Credited,USD,-20.02,20.02,,,,,,,,,,
AffiniPayLLC,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP,8516348271525994,NSQV5DTL38N9TQ82,XT6S77WBTLMMCQT5,6nLJoIh8DnHHb8VfWPLTA8-1f8WoZ3KyOkCKFeatE3XOt-6tMzu4BOGVJtvAc1cvDKN3,WT4TKWS5NGM5HW65,6nLJoIh8DnHHb8VfWPLTA8-1f8WoZ3KyOkCKFeatE3XOt-6tMzu4BOGVJtvAc1cvDKN3-capture,,,2024-03-03 22:17:02,PST,6nLJoIh8DnHHb8VfWPLTA8-1f8WoZ3KyOkCKFeatE3XOt-6tMzu4BOGVJtvAc1cvDKN3-capture,USD,20.02,Credited,USD,-20.02,20.02,,,,,,,,,,
AffiniPayLLC,LiableAccountHolderAffiniPayLLC,141562167,XPJ8H8F28WK7C782,C68J8TLXK5HSMRT5,0ynpbSdN0bybEvCyHJOw7k-4YQYafa3mZwUCtmoXf6kFM-5FYtDsQdY8l4B1UgBVUQFT,SMB2V89W4KGJFH65,0ynpbSdN0bybEvCyHJOw7k-4YQYafa3mZwUCtmoXf6kFM-5FYtDsQdY8l4B1UgBVUQFT-capture,,,2024-03-03 22:17:02,PST,0ynpbSdN0bybEvCyHJOw7k-4YQYafa3mZwUCtmoXf6kFM-5FYtDsQdY8l4B1UgBVUQFT-capture,USD,20.02,Credited,USD,-20.02,20.02,,,,,,,,,,
AffiniPayLLC,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP,8516348271525994,G5449DTL38N9TQ82,KCPP87WBTLMMCQT5,6nLJoIh8DnHHb8VfWPLTA8-1f8WoZ3KyOkCKFeatE3XOt-1XRpFZEDwrdvfe9gN6vN9l,J6KBX3GMNFJSKK65,6nLJoIh8DnHHb8VfWPLTA8-1f8WoZ3KyOkCKFeatE3XOt-1XRpFZEDwrdvfe9gN6vN9l-capture,,,2024-03-03 22:17:02,PST,6nLJoIh8DnHHb8VfWPLTA8-1f8WoZ3KyOkCKFeatE3XOt-1XRpFZEDwrdvfe9gN6vN9l-capture,USD,20.02,Credited,USD,-20.02,20.02,,,,,,,,,,
AffiniPayLLC,LiableAccountHolderAffiniPayLLC,141562167,JW8WX8F28WK7C782,PVHHLHHZWV5X8N82,3sxxgTfgvD0AY7haUw0Dc8-3O5yw6d5siTsEUYDqWeMeA-4evjBRcg2iA9eC5VShIKja,Z3XZGKDZBPCSKK65,3sxxgTfgvD0AY7haUw0Dc8-3O5yw6d5siTsEUYDqWeMeA-4evjBRcg2iA9eC5VShIKja-capture,,,2024-03-03 22:17:02,PST,3sxxgTfgvD0AY7haUw0Dc8-3O5yw6d5siTsEUYDqWeMeA-4evjBRcg2iA9eC5VShIKja-capture,USD,33.00,Credited,USD,-33.00,33.00,,,,,,,,,,
AffiniPayLLC,LiableAccountHolderAffiniPayLLC,141562167,G52M59TL38N9TQ82,BD4DXSRT5LWT3ST5,0ynpbSdN0bybEvCyHJOw7k-4YQYafa3mZwUCtmoXf6kFM-7IVxdihKRHlhWKJWsqRviR,G7HK7NGNKMQ7C782,<auto>,,,2024-03-03 22:17:02,PST,Payment with empty split data - Payment with empty split data,USD,-20.02,Debited,USD,20.02,-20.02,,,,,,,,,,
AffiniPayLLC,LiableAccountHolderAffiniPayLLC,141562167,VT2H2DTL38N9TQ82,HX5TB3QJT3RZNN82,5qmHRX2JFUUVph4myOIqyt-5hTjbXhp3QsHvxrW03lHby-7H1iSsgiBTPc36WnYiY2gR,RRHQKKDZBPCSKK65,5qmHRX2JFUUVph4myOIqyt-5hTjbXhp3QsHvxrW03lHby-7H1iSsgiBTPc36WnYiY2gR-capture,,,2024-03-03 22:17:02,PST,5qmHRX2JFUUVph4myOIqyt-5hTjbXhp3QsHvxrW03lHby-7H1iSsgiBTPc36WnYiY2gR-capture,USD,33.00,Credited,USD,-33.00,33.00,,,,,,,,,,
AffiniPayLLC,LiableAccountHolderAffiniPayLLC,141562167,M38K49F28WK7C782,Q29P93QJT3RZNN82,5qmHRX2JFUUVph4myOIqyt-5hTjbXhp3QsHvxrW03lHby-3jFQVVbK3G3ExqysBjfo5Z,FW7FSNT363LWFL65,5qmHRX2JFUUVph4myOIqyt-5hTjbXhp3QsHvxrW03lHby-3jFQVVbK3G3ExqysBjfo5Z-capture,,,2024-03-03 22:17:02,PST,5qmHRX2JFUUVph4myOIqyt-5hTjbXhp3QsHvxrW03lHby-3jFQVVbK3G3ExqysBjfo5Z-capture,USD,2.00,Credited,USD,-2.00,2.00,,,,,,,,,,
AffiniPayLLC,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP,8516348271525994,V93MC9F28WK7C782,JL7X5DKB8FBSMRT5,6nLJoIh8DnHHb8VfWPLTA8-1f8WoZ3KyOkCKFeatE3XOt-5QXTrPeWMDJqZbVGCdWT6n,C5DGXKDZBPCSKK65,6nLJoIh8DnHHb8VfWPLTA8-1f8WoZ3KyOkCKFeatE3XOt-5QXTrPeWMDJqZbVGCdWT6n-capture,,,2024-03-03 22:17:02,PST,6nLJoIh8DnHHb8VfWPLTA8-1f8WoZ3KyOkCKFeatE3XOt-5QXTrPeWMDJqZbVGCdWT6n-capture,USD,20.80,Credited,USD,-20.80,20.80,,,,,,,,,,
AffiniPayLLC,76ccSRjOJyM5tDsBq7eKzo-3Fnn1x5KNetYZVB9TaETEP,8516348271525994,NXQV5DTL38N9TQ82,M5GVVCKB8FBSMRT5,6nLJoIh8DnHHb8VfWPLTA8-1f8WoZ3KyOkCKFeatE3XOt-5UbGJBMLggyO2FU1DKLNio,TFLDJR79RS9JFH65,6nLJoIh8DnHHb8VfWPLTA8-1f8WoZ3KyOkCKFeatE3XOt-5UbGJBMLggyO2FU1DKLNio-capture,,,2024-03-03 22:17:02,PST,6nLJoIh8DnHHb8VfWPLTA8-1f8WoZ3KyOkCKFeatE3XOt-5UbGJBMLggyO2FU1DKLNio-capture,USD,20.02,Credited,USD,-20.02,20.02,,,,,,,,,,
